x,y
0,-1
0.0008,-1.0008
0.0016,-1.0016
0.0024,-1.0024
0.0032,-1.00321
0.004,-1.00401
0.0048,-1.00481
0.0056,-1.00562
0.0064,-1.00642
0.0072,-1.00723
0.008,-1.00803
0.0088,-1.00884
0.0096,-1.00965
0.0104,-1.01045
0.0112,-1.01126
0.012,-1.01207
0.0128,-1.01288
0.0136,-1.01369
0.0144,-1.0145
0.0152,-1.01532
0.016,-1.01613
0.0168,-1.01694
0.0176,-1.01776
0.0184,-1.01857
0.0192,-1.01939
0.02,-1.0202
0.0208,-1.02102
0.0216,-1.02183
0.0224,-1.02265
0.0232,-1.02347
0.024,-1.02429
0.0248,-1.02511
0.0256,-1.02593
0.0264,-1.02675
0.0272,-1.02757
0.028,-1.0284
0.0288,-1.02922
0.0296,-1.03004
0.0304,-1.03087
0.0312,-1.03169
0.032,-1.03252
0.0328,-1.03334
0.0336,-1.03417
0.0344,-1.035
0.0352,-1.03583
0.036,-1.03666
0.0368,-1.03749
0.0376,-1.03832
0.0384,-1.03915
0.0392,-1.03998
0.04,-1.04081
0.0408,-1.04164
0.0416,-1.04248
0.0424,-1.04331
0.0432,-1.04415
0.044,-1.04498
0.0448,-1.04582
0.0456,-1.04666
0.0464,-1.04749
0.0472,-1.04833
0.048,-1.04917
0.0488,-1.05001
0.0496,-1.05085
0.0504,-1.05169
0.0512,-1.05253
0.052,-1.05338
0.0528,-1.05422
0.0536,-1.05506
0.0544,-1.05591
0.0552,-1.05675
0.056,-1.0576
0.0568,-1.05844
0.0576,-1.05929
0.0584,-1.06014
0.0592,-1.06099
0.06,-1.06184
0.0608,-1.06269
0.0616,-1.06354
0.0624,-1.06439
0.0632,-1.06524
0.064,-1.06609
0.0648,-1.06695
0.0656,-1.0678
0.0664,-1.06865
0.0672,-1.06951
0.068,-1.07037
0.0688,-1.07122
0.0696,-1.07208
0.0704,-1.07294
0.0712,-1.0738
0.072,-1.07466
0.0728,-1.07552
0.0736,-1.07638
0.0744,-1.07724
0.0752,-1.0781
0.076,-1.07896
0.0768,-1.07983
0.0776,-1.08069
0.0784,-1.08156
0.0792,-1.08242
0.08,-1.08329
0.0808,-1.08415
0.0816,-1.08502
0.0824,-1.08589
0.0832,-1.08676
0.084,-1.08763
0.0848,-1.0885
0.0856,-1.08937
0.0864,-1.09024
0.0872,-1.09111
0.088,-1.09199
0.0888,-1.09286
0.0896,-1.09374
0.0904,-1.09461
0.0912,-1.09549
0.092,-1.09636
0.0928,-1.09724
0.0936,-1.09812
0.0944,-1.099
0.0952,-1.09988
0.096,-1.10076
0.0968,-1.10164
0.0976,-1.10252
0.0984,-1.1034
0.0992,-1.10429
0.1,-1.10517
0.1008,-1.10606
0.1016,-1.10694
0.1024,-1.10783
0.1032,-1.10871
0.104,-1.1096
0.1048,-1.11049
0.1056,-1.11138
0.1064,-1.11227
0.1072,-1.11316
0.108,-1.11405
0.1088,-1.11494
0.1096,-1.11583
0.1104,-1.11672
0.1112,-1.11762
0.112,-1.11851
0.1128,-1.11941
0.1136,-1.1203
0.1144,-1.1212
0.1152,-1.1221
0.116,-1.123
0.1168,-1.12389
0.1176,-1.12479
0.1184,-1.12569
0.1192,-1.1266
0.12,-1.1275
0.1208,-1.1284
0.1216,-1.1293
0.1224,-1.13021
0.1232,-1.13111
0.124,-1.13202
0.1248,-1.13292
0.1256,-1.13383
0.1264,-1.13474
0.1272,-1.13564
0.128,-1.13655
0.1288,-1.13746
0.1296,-1.13837
0.1304,-1.13928
0.1312,-1.1402
0.132,-1.14111
0.1328,-1.14202
0.1336,-1.14294
0.1344,-1.14385
0.1352,-1.14477
0.136,-1.14568
0.1368,-1.1466
0.1376,-1.14752
0.1384,-1.14843
0.1392,-1.14935
0.14,-1.15027
0.1408,-1.15119
0.1416,-1.15212
0.1424,-1.15304
0.1432,-1.15396
0.144,-1.15488
0.1448,-1.15581
0.1456,-1.15673
0.1464,-1.15766
0.1472,-1.15859
0.148,-1.15951
0.1488,-1.16044
0.1496,-1.16137
0.1504,-1.1623
0.1512,-1.16323
0.152,-1.16416
0.1528,-1.16509
0.1536,-1.16602
0.1544,-1.16696
0.1552,-1.16789
0.156,-1.16883
0.1568,-1.16976
0.1576,-1.1707
0.1584,-1.17163
0.1592,-1.17257
0.16,-1.17351
0.1608,-1.17445
0.1616,-1.17539
0.1624,-1.17633
0.1632,-1.17727
0.164,-1.17821
0.1648,-1.17916
0.1656,-1.1801
0.1664,-1.18105
0.1672,-1.18199
0.168,-1.18294
0.1688,-1.18388
0.1696,-1.18483
0.1704,-1.18578
0.1712,-1.18673
0.172,-1.18768
0.1728,-1.18863
0.1736,-1.18958
0.1744,-1.19053
0.1752,-1.19148
0.176,-1.19244
0.1768,-1.19339
0.1776,-1.19435
0.1784,-1.1953
0.1792,-1.19626
0.18,-1.19722
0.1808,-1.19818
0.1816,-1.19913
0.1824,-1.20009
0.1832,-1.20105
0.184,-1.20202
0.1848,-1.20298
0.1856,-1.20394
0.1864,-1.2049
0.1872,-1.20587
0.188,-1.20683
0.1888,-1.2078
0.1896,-1.20877
0.1904,-1.20973
0.1912,-1.2107
0.192,-1.21167
0.1928,-1.21264
0.1936,-1.21361
0.1944,-1.21458
0.1952,-1.21555
0.196,-1.21653
0.1968,-1.2175
0.1976,-1.21847
0.1984,-1.21945
0.1992,-1.22043
0.2,-1.2214
0.2008,-1.22238
0.2016,-1.22336
0.2024,-1.22434
0.2032,-1.22532
0.204,-1.2263
0.2048,-1.22728
0.2056,-1.22826
0.2064,-1.22924
0.2072,-1.23023
0.208,-1.23121
0.2088,-1.2322
0.2096,-1.23318
0.2104,-1.23417
0.2112,-1.23516
0.212,-1.23615
0.2128,-1.23714
0.2136,-1.23813
0.2144,-1.23912
0.2152,-1.24011
0.216,-1.2411
0.2168,-1.2421
0.2176,-1.24309
0.2184,-1.24408
0.2192,-1.24508
0.22,-1.24608
0.2208,-1.24707
0.2216,-1.24807
0.2224,-1.24907
0.2232,-1.25007
0.224,-1.25107
0.2248,-1.25207
0.2256,-1.25307
0.2264,-1.25408
0.2272,-1.25508
0.228,-1.25609
0.2288,-1.25709
0.2296,-1.2581
0.2304,-1.2591
0.2312,-1.26011
0.232,-1.26112
0.2328,-1.26213
0.2336,-1.26314
0.2344,-1.26415
0.2352,-1.26516
0.236,-1.26617
0.2368,-1.26719
0.2376,-1.2682
0.2384,-1.26922
0.2392,-1.27023
0.24,-1.27125
0.2408,-1.27227
0.2416,-1.27328
0.2424,-1.2743
0.2432,-1.27532
0.244,-1.27634
0.2448,-1.27737
0.2456,-1.27839
0.2464,-1.27941
0.2472,-1.28044
0.248,-1.28146
0.2488,-1.28249
0.2496,-1.28351
0.2504,-1.28454
0.2512,-1.28557
0.252,-1.2866
0.2528,-1.28763
0.2536,-1.28866
0.2544,-1.28969
0.2552,-1.29072
0.256,-1.29175
0.2568,-1.29279
0.2576,-1.29382
0.2584,-1.29486
0.2592,-1.29589
0.26,-1.29693
0.2608,-1.29797
0.2616,-1.29901
0.2624,-1.30005
0.2632,-1.30109
0.264,-1.30213
0.2648,-1.30317
0.2656,-1.30421
0.2664,-1.30526
0.2672,-1.3063
0.268,-1.30735
0.2688,-1.30839
0.2696,-1.30944
0.2704,-1.31049
0.2712,-1.31154
0.272,-1.31259
0.2728,-1.31364
0.2736,-1.31469
0.2744,-1.31574
0.2752,-1.31679
0.276,-1.31785
0.2768,-1.3189
0.2776,-1.31996
0.2784,-1.32101
0.2792,-1.32207
0.28,-1.32313
0.2808,-1.32419
0.2816,-1.32525
0.2824,-1.32631
0.2832,-1.32737
0.284,-1.32843
0.2848,-1.3295
0.2856,-1.33056
0.2864,-1.33162
0.2872,-1.33269
